survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
SDSS_AB,18.577382,17.39473,16.922999,16.638954000000002,18.399799346923828,17.394500732421875,16.927900314331055,16.708999633789062,308.53432813,1.13578722
SDSS_AB,18.457282,17.83633,17.610799,17.503454,18.394699096679688,17.83009910583496,17.621599197387695,17.55270004272461,308.5343521,1.15371665
SDSS_AB,16.952282,16.351229999999997,16.141899,15.995254000000001,16.855899810791016,16.34149932861328,16.122699737548828,16.03380012512207,308.53473735,-1.00300896
SDSS_AB,17.426882,16.89133,16.721199,16.626554000000002,17.338899612426758,16.89859962463379,16.716800689697266,16.653799057006836,308.53624923,0.37661297
SDSS_AB,16.324182,15.708129999999999,15.494698999999999,15.391854,16.246700286865234,15.702099800109863,15.49940013885498,15.42490005493164,308.53637486,0.32737634
SDSS_AB,17.278882,16.281029999999998,15.952998999999998,15.750354000000002,17.136899948120117,16.295400619506836,15.95110034942627,15.802499771118164,308.53877311,0.396
SDSS_AB,18.572782,18.10633,17.936598999999998,17.859054,18.484600067138672,18.090299606323242,17.94770050048828,17.878299713134766,308.53904209,0.74471959
SDSS_AB,17.076582000000002,16.49853,16.319799,16.240254,16.99250030517578,16.491300582885742,16.319000244140625,16.26259994506836,308.53917279,0.64304113
SDSS_AB,16.691882,16.12813,15.939298999999998,15.846754,16.607999801635742,16.12339973449707,15.925100326538086,15.857999801635742,308.5396617,-0.05656045
SDSS_AB,17.812682000000002,17.23893,17.044898999999997,16.935454,17.71809959411621,17.2278995513916,17.03529930114746,16.95870018005371,308.5396692,-0.06664161
SDSS_AB,17.861382,17.25003,17.004299,16.866354,17.739099502563477,17.239200592041016,17.013900756835938,16.911800384521484,308.5401739,-0.5655065
SDSS_AB,18.309682000000002,17.82553,17.654699,17.580754000000002,18.237199783325195,17.828899383544922,17.653099060058594,17.59149932861328,308.54093566,1.11781983
SDSS_AB,18.053082,16.59473,15.895098999999998,15.506654000000001,17.8439998626709,16.596799850463867,15.902999877929688,15.583000183105469,308.54143457,0.27672493
SDSS_AB,18.470482,17.71213,17.429899,17.272354,18.365299224853516,17.70330047607422,17.42799949645996,17.318599700927734,308.54200417,0.33317219
SDSS_AB,18.141182,17.825129999999998,17.722399,17.686554,18.095500946044922,17.826400756835938,17.73579978942871,17.72599983215332,308.54376029,0.67757861
SDSS_AB,17.808782,17.24993,17.071399,16.950154,17.72319984436035,17.244400024414062,17.050199508666992,16.977100372314453,308.54455669,-0.10232447
SDSS_AB,15.618582,15.121229999999999,14.973598999999998,14.910454000000001,15.550200462341309,15.110600471496582,14.967399597167969,14.940699577331543,308.54574765,0.6801973
SDSS_AB,17.404382000000002,16.893929999999997,16.714699,16.627654,17.343799591064453,16.890899658203125,16.72209930419922,16.657800674438477,308.54576922,0.67182072
SDSS_AB,18.177982,18.04273,18.018599,18.012754,18.158000946044922,18.02429962158203,18.027299880981445,18.081600189208984,308.54609617,-0.5577316
SDSS_AB,18.343582,17.855829999999997,17.686899,17.604154,18.292699813842773,17.860599517822266,17.6830997467041,17.644800186157227,308.54683952,0.40329281
SDSS_AB,17.372882,16.47523,16.154498999999998,15.935954,17.239299774169922,16.46809959411621,16.13949966430664,15.985899925231934,308.54696553,-0.05559827
SDSS_AB,18.254782000000002,17.465729999999997,17.172199,16.980454,18.12809944152832,17.46179962158203,17.14430046081543,17.003400802612305,308.54755601,-0.03027764
SDSS_AB,18.401682,17.92163,17.770599,17.708354,18.30109977722168,17.8927001953125,17.79159927368164,17.690000534057617,308.54815969,0.71876225
SDSS_AB,18.977082,18.34593,18.125498999999998,18.006354,18.924400329589844,18.34600067138672,18.13319969177246,18.05150032043457,308.54900108,-0.07171299
SDSS_AB,15.924182,15.201329999999999,14.950999,14.799954000000001,15.821399688720703,15.193099975585938,14.931599617004395,14.831700325012207,308.54905065,-0.04626201
