survey,Foundation_g,Foundation_r,Foundation_i,Foundation_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
Foundation_AB,18.32740020751953,17.82159996032715,17.618799209594727,17.56290054321289,18.344999313354492,17.82080078125,17.619300842285156,17.561800003051758,37.06590538,-4.20285098
Foundation_AB,17.989700317382812,17.741600036621094,17.625200271606445,17.616600036621094,17.972400665283203,17.73780059814453,17.62689971923828,17.60689926147461,37.15499303,-4.13394957
Foundation_AB,18.829299926757812,18.593599319458008,18.476499557495117,18.467300415039062,18.819499969482422,18.59160041809082,18.48940086364746,18.489500045776367,37.18478592,-4.19542608
Foundation_AB,18.964500427246094,18.715299606323242,18.635900497436523,18.628299713134766,18.966400146484375,18.700599670410156,18.624000549316406,18.62660026550293,37.13439203,-4.19564236
Foundation_AB,17.39299964904785,17.04159927368164,16.91309928894043,16.904199600219727,17.392900466918945,17.041400909423828,16.911699295043945,16.904499053955078,37.04030666,-4.27335899
Foundation_AB,17.380199432373047,17.151100158691406,17.08679962158203,17.087400436401367,17.37220001220703,17.15489959716797,17.086599349975586,17.09160041809082,37.21244521,-4.23586303
Foundation_AB,17.923599243164062,17.702299118041992,17.621999740600586,17.60930061340332,17.909900665283203,17.70359992980957,17.62529945373535,17.610000610351562,37.22269974,-4.25620292
Foundation_AB,18.588699340820312,18.078899383544922,17.888099670410156,17.822099685668945,18.574899673461914,18.0762996673584,17.896099090576172,17.829200744628906,37.19307029,-4.28873577
Foundation_AB,18.462600708007812,17.687000274658203,17.374000549316406,17.236799240112305,18.462799072265625,17.680500030517578,17.36989974975586,17.251300811767578,37.27468293,-4.27272759
Foundation_AB,18.37339973449707,17.555299758911133,17.22170066833496,17.067399978637695,18.345600128173828,17.556699752807617,17.215599060058594,17.077199935913086,54.60363774,-27.00106403
Foundation_AB,18.995899200439453,18.27050018310547,17.927499771118164,17.818500518798828,19.032899856567383,18.25469970703125,17.940399169921875,17.823299407958984,54.46157027,-26.96433163
Foundation_AB,18.917600631713867,17.7106990814209,17.01259994506836,16.69860076904297,18.93160057067871,17.70199966430664,17.02790069580078,16.693300247192383,54.44853395,-27.19350646
Foundation_AB,17.73819923400879,17.2273006439209,17.039899826049805,16.977800369262695,17.729000091552734,17.227100372314453,17.037799835205078,16.981300354003906,54.51084066,-27.05216087
Foundation_AB,17.47209930419922,17.19879913330078,17.087900161743164,17.06450080871582,17.45949935913086,17.1924991607666,17.075899124145508,17.07699966430664,54.487725,-27.19366366
Foundation_AB,18.55430030822754,17.753400802612305,17.402299880981445,17.258399963378906,18.55590057373047,17.737300872802734,17.406099319458008,17.258499145507812,54.59453867,-27.1574297
Foundation_AB,18.12299919128418,17.684200286865234,17.494800567626953,17.458200454711914,18.127399444580078,17.683000564575195,17.50149917602539,17.45989990234375,54.4205552,-27.10447703
Foundation_AB,18.174299240112305,17.636699676513672,17.429899215698242,17.37619972229004,18.171199798583984,17.646900177001953,17.43090057373047,17.3794002532959,54.41320297,-27.02918844
Foundation_AB,18.113100051879883,17.856199264526367,17.755199432373047,17.75480079650879,18.086200714111328,17.8533992767334,17.753299713134766,17.76020050048828,54.52519418,-27.09520149
Foundation_AB,18.724000930786133,18.103599548339844,17.842100143432617,17.736499786376953,18.74799919128418,18.090999603271484,17.854700088500977,17.747100830078125,54.51883363,-27.14527788
Foundation_AB,18.46190071105957,17.95549964904785,17.73539924621582,17.65730094909668,18.49519920349121,17.940399169921875,17.739299774169922,17.660400390625,54.53626856,-27.21752643
Foundation_AB,18.803800582885742,18.04210090637207,17.736299514770508,17.618600845336914,18.781600952148438,18.039400100708008,17.733800888061523,17.612300872802734,54.57165487,-27.15327762
Foundation_AB,18.182199478149414,17.872900009155273,17.754600524902344,17.723499298095703,18.16550064086914,17.872900009155273,17.73859977722168,17.72570037841797,54.4357286,-27.0767904
Foundation_AB,18.797700881958008,17.707000732421875,17.20989990234375,16.99679946899414,18.79509925842285,17.708599090576172,17.213499069213867,16.993099212646484,54.53897149,-27.074104
Foundation_AB,18.87350082397461,18.46969985961914,18.291000366210938,18.29640007019043,18.87619972229004,18.462900161743164,18.303600311279297,18.285200119018555,54.49864953,-26.97747454
Foundation_AB,17.714000701904297,17.17289924621582,16.93269920349121,16.859399795532227,17.697799682617188,17.16659927368164,16.940000534057617,16.856199264526367,54.53848147,-27.00839148
Foundation_AB,18.869800567626953,17.694799423217773,17.039600372314453,16.76099967956543,18.878400802612305,17.68939971923828,17.04129981994629,16.758499145507812,54.60555733,-27.36144292
Foundation_AB,18.411699295043945,17.496000289916992,17.132699966430664,16.990400314331055,18.3799991607666,17.49449920654297,17.128400802612305,16.984699249267578,54.58672336,-27.31337483
Foundation_AB,18.67799949645996,17.919200897216797,17.570999145507812,17.440099716186523,18.604299545288086,17.930999755859375,17.564699172973633,17.432100296020508,54.70182582,-27.23713768
Foundation_AB,18.793500900268555,18.11009979248047,17.8439998626709,17.750099182128906,18.82349967956543,18.099199295043945,17.840099334716797,17.74250030517578,54.67840929,-27.23654985
Foundation_AB,18.96940040588379,18.272899627685547,17.975500106811523,17.848499298095703,18.996299743652344,18.27739906311035,17.99139976501465,17.852100372314453,54.72662878,-27.234878
Foundation_AB,18.025699615478516,17.39109992980957,17.145700454711914,17.05430030822754,18.04129981994629,17.38949966430664,17.140100479125977,17.04450035095215,54.76208562,-27.25562061
Foundation_AB,18.85650062561035,17.735200881958008,17.15760040283203,16.876399993896484,18.881099700927734,17.718799591064453,17.125,16.8528995513916,54.74681118,-27.40552327
