survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
D3YR,17.88750076,17.07389069,16.79602051,16.63475037,17.837600708007812,17.154399871826172,16.831899642944336,16.69580078125,40.72621173,-0.10100041
D3YR,18.88031578,17.68552399,17.26510811,17.04640007,18.755199432373047,17.774499893188477,17.31599998474121,17.128599166870117,40.72474485,0.00708941
D3YR,18.01768875,17.19653511,16.95140648,16.82540894,17.981399536132812,17.283100128173828,16.98349952697754,16.884000778198242,40.73338826,-0.08103397
D3YR,18.94391823,17.47729492,16.41902733,15.97023678,18.87980079650879,17.656700134277344,16.56679916381836,16.080299377441406,40.58976151,-0.11241765
D3YR,18.75776672,17.29005241,16.35695076,15.94550705,18.66699981689453,17.441999435424805,16.497600555419922,16.059200286865234,43.68636344,-0.80221836
D3YR,18.30348015,17.01130295,16.50963974,16.26502037,18.21179962158203,17.118000030517578,16.579299926757812,16.344499588012695,40.68832032,-0.11739056
D3YR,18.71514702,17.26261139,16.36400414,15.96238613,18.62929916381836,17.4335994720459,16.50160026550293,16.092100143432617,40.67623186,-0.06014635
D3YR,18.47066116,18.12375832,17.8331356,17.78649139,18.34320068359375,18.048500061035156,17.753299713134766,17.699100494384766,43.42060763,0.18611954
D3YR,18.9120121,17.87041283,17.53004837,17.34409142,18.833499908447266,17.954999923706055,17.566699981689453,17.413700103759766,43.40778434,0.20884771
D3YR,18.66850853,17.38816071,16.81268883,16.52255249,18.615299224853516,17.497299194335938,16.89349937438965,16.60059928894043,43.38958143,0.2085313
