survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-g_AV,GAIA-b_AV,GAIA-r_AV,GAIA_SNLS-g,GAIA_SNLS-r,GAIA_SNLS-i,GAIA_SNLS-z,SOURCEID
SNLS_AB,18.7325,18.4248,18.3248,18.2934,18.7217,18.4362,18.3194,18.3331,36.1146,-4.76692,0.0853025,0.0606197,0.0444275,0.0345616,0.0856,0.0612958,0.0453503,0.035803,18.4348,18.0002,18.7642,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.7258,17.4731,17.3944,17.3759,17.7211,17.475,17.3878,17.3898,36.3621,-4.75562,0.0843025,0.0596197,0.0434275,0.0335616,0.0846,0.0602958,0.0443503,0.034803,17.4767,17.079,17.7312,0,0,0,17.737,17.4772,17.4104,17.4078,2489556283930691712
SNLS_AB,17.888,17.3661,17.162,17.0683,17.8666,17.3699,17.1613,17.0954,36.0945,-4.73821,0.0873025,0.0616197,0.0454275,0.0355616,0.0876,0.0622958,0.0463503,0.036803,17.4025,16.8293,17.8196,0,0,0,17.9073,17.3648,17.1743,17.0937,2489562404259203200
SNLS_AB,18.0456,17.3992,17.1598,17.0468,18.063,17.4165,17.1659,17.0723,36.3432,-4.73302,0.0863025,0.0616197,0.0454275,0.0355616,0.0866,0.0622958,0.0463503,0.036803,17.4581,16.8258,17.9748,0,0,0,18.0852,17.4331,17.1795,17.065,2489557108564417152
SNLS_AB,17.3064,16.9712,16.845,16.803,17.3127,16.9861,16.8475,16.8248,36.2179,-4.72678,0.08152,0.0578958,0.0424275,0.033468,0.0818,0.0584366,0.0433503,0.0345025,16.981,16.5054,17.2887,0,0,0,17.3176,16.9811,16.8567,16.8005,2489567455140764928
SNLS_AB,18.242,17.7688,17.6069,17.5455,18.2349,17.7684,17.6156,17.5465,36.7821,-4.72313,0.0883025,0.0626197,0.0454275,0.0355616,0.0886,0.0632958,0.0463503,0.036803,17.8126,17.2945,18.199,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.7873,18.3232,18.1428,18.0655,18.7698,18.3425,18.1399,18.0969,36.9284,-4.72307,0.092085,0.0646197,0.0474275,0.0375616,0.0924,0.0652958,0.0483503,0.038803,18.3571,17.8685,18.7271,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.5121,16.9324,16.6857,16.5658,17.5141,16.9473,16.7001,16.5999,36.8748,-4.72072,0.091085,0.0646197,0.0474275,0.0366552,0.0914,0.0652958,0.0483503,0.0381034,16.976,16.3493,17.4417,0,0,0,17.5276,16.9294,16.6907,16.5706,2489181109947291904
SNLS_AB,17.4526,16.9101,16.7319,16.6542,17.4875,16.9258,16.736,16.6783,36.0654,-4.70916,0.0883025,0.0626197,0.046113,0.0356552,0.0886,0.0632958,0.0472203,0.0371034,16.9662,16.3867,17.3834,0,0,0,17.4646,16.9048,16.743,16.6631,2489565668434347392
SNLS_AB,18.4392,17.7875,17.5314,17.4032,18.4458,17.8027,17.542,17.4384,36.3147,-4.70963,0.0873025,0.0618958,0.0454275,0.0355616,0.0876,0.0624366,0.0463503,0.036803,17.8575,17.1758,18.3819,0,0,0,-999,-999,-999,-999,-999
