survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3S-B,GAIA_CFA3S-V,GAIA_CFA3S-R,GAIA_CFA3S-I
CFA3S,15.9006,15.2829,14.8554,14.5044,15.4952,15.075,14.9336,14.9138,74.2292,-4.83581,0.155423,0.121341,0.0917484,0.065875,0.139971,0.0990141,0.0729605,0.0580049,3212516691369573376,15.7916,15.2735,15.0341,14.9138
CFA3S,15.8462,15.3269,14.931,14.5871,15.5229,15.1487,15.0027,14.973,74.1968,-4.81081,0.158804,0.123465,0.0937484,0.067875,0.142785,0.101873,0.0749605,0.0600049,3212517584722771712,15.7838,15.3255,15.1052,14.9839
CFA3S,16.4172,15.8785,15.497,15.169,16.0508,15.7077,15.6025,15.5836,74.1651,-4.7519,0.153804,0.120341,0.0907624,0.065875,0.138971,0.0980141,0.0729605,0.0580049,3212535761024364928,16.3181,15.8759,15.6776,15.5832
CFA3S,18.0186,17.1949,16.6867,16.2991,17.3168,16.8748,16.7063,16.6466,74.1562,-4.79677,0.154804,0.120341,0.0907624,0.065875,0.138971,0.0990141,0.0729605,0.0580049,3212529576271569920,17.6413,17.0916,16.8219,16.6686
CFA3S,18.0811,17.33,16.8312,16.4357,17.6308,17.0961,16.8947,16.8369,144.566,25.5229,0.0700929,0.054485,0.0408882,0.029875,0.062765,0.0445775,0.0326102,0.026202,-999,-999,-999,-999,-999
CFA3S,17.8474,17.2148,16.7713,16.4165,17.4538,17.0101,16.8413,16.8154,144.52,25.5753,0.0697115,0.054485,0.0408882,0.029875,0.062765,0.0445775,0.0326102,0.026202,-999,-999,-999,-999,-999
CFA3S,18.3921,17.9695,17.6424,17.3052,18.1445,17.8382,17.7376,17.7363,144.503,25.5439,0.0757115,0.0586088,0.0448742,0.032,0.0675788,0.0484366,0.0354802,0.0285025,-999,-999,-999,-999,-999
CFA3S,18.3715,17.5204,16.8827,16.4024,17.873,17.1766,16.8913,16.781,144.489,25.4276,0.0760929,0.0596088,0.0448742,0.032875,0.0685787,0.0485775,0.0356102,0.0285025,-999,-999,-999,-999,-999
CFA3S,15.6533,15.1085,14.7254,14.4654,15.2816,14.9123,14.7827,14.7883,144.48,25.4174,0.0747115,0.0576088,0.0438882,0.031875,0.0665788,0.0475775,0.0354802,0.028202,-999,-999,-999,-999,-999
CFA3S,16.3231,15.4745,14.8942,14.4064,15.785,15.1507,14.8651,14.752,144.462,25.476,0.0767115,0.0596088,0.0448882,0.032875,0.0685787,0.0485775,0.0364802,0.0285025,-999,-999,-999,-999,-999
CFA3S,15.9393,15.3595,14.9392,14.5919,15.5739,15.1593,15.0116,14.984,144.409,25.4855,0.0737115,0.0576088,0.0428882,0.031875,0.0665788,0.0474366,0.0346102,0.0275025,645102923923609472,15.8355,15.3644,15.1249,14.9939
CFA3S,17.7082,17.2513,16.9233,16.5793,17.4283,17.1376,17.029,17.0189,149.769,17.7717,0.118567,0.0925987,0.0698183,0.050875,0.107089,0.0761549,0.0562203,0.0444039,-999,-999,-999,-999,-999
CFA3S,17.0072,16.5003,16.1213,15.8093,16.6999,16.3581,16.2262,16.1908,149.722,17.8138,0.117567,0.0915987,0.0688183,0.049875,0.106089,0.0751549,0.0552203,0.0441034,-999,-999,-999,-999,-999
CFA3S,18.6848,18.066,17.6454,17.2437,18.3456,17.8772,17.6958,17.6268,347.752,7.52447,0.259753,0.201692,0.152595,0.11075,0.233432,0.16531,0.122311,0.0978079,-999,-999,-999,-999,-999
CFA3S,18.0598,17.357,16.8354,16.3627,17.6631,17.0855,16.8334,16.741,347.732,7.4917,0.254135,0.197569,0.149609,0.10875,0.228619,0.16231,0.120311,0.0958079,-999,-999,-999,-999,-999
CFA3S,17.3218,16.779,16.3724,16.0007,17.0079,16.5864,16.452,16.3883,347.697,7.6545,0.262753,0.204692,0.154595,0.11175,0.236432,0.16731,0.124181,0.0988079,-999,-999,-999,-999,-999
CFA3S,18.6478,17.897,17.4084,16.9877,18.2883,17.7567,17.6053,17.5064,347.612,7.55179,0.217897,0.169703,0.127665,0.09275,0.195922,0.138592,0.102571,0.0819064,-999,-999,-999,-999,-999
CFA3S,16.9183,16.3725,15.9738,15.6375,16.5568,16.1989,16.0682,16.0587,154.344,60.3036,0.0302372,0.0236188,0.0179581,0.013,0.0270687,0.0197183,0.0147401,0.011601,1048547309620118784,16.8239,16.378,16.1673,16.061
CFA3S,15.401,14.9525,14.6154,14.3062,15.0812,14.8201,14.72,14.7159,196.988,34.1554,0.0418558,0.03199,0.0239441,0.017875,0.03751,0.0267183,0.0197401,0.015601,1467840708753246976,15.2814,14.9509,14.7938,14.7113
CFA3S,16.7837,16.1782,15.7384,15.3643,16.384,15.9578,15.8024,15.7772,196.981,34.0096,0.0444744,0.0348663,0.0259301,0.019,0.0396963,0.0285775,0.0207401,0.0169015,1467744913802569856,16.7047,16.1717,15.915,15.7905
CFA3S,16.197,15.6565,15.2641,14.9279,15.843,15.4837,15.3655,15.3466,196.968,34.1374,0.0428558,0.0338663,0.0249441,0.018,0.0386963,0.0277183,0.0206102,0.0159015,-999,-999,-999,-999,-999
CFA3S,16.525,15.8112,15.3151,14.9153,16.0718,15.5416,15.3531,15.303,196.923,34.0698,0.0408558,0.03199,0.0239441,0.017875,0.03751,0.0267183,0.0197401,0.015601,1467746219472628480,16.4306,15.8109,15.4898,15.3248
