survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,ZTF-G,ZTF-R,ZTF-I,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV
ZTF,17.8744,17.2662,17.041,17.8657,17.2403,16.9925,16.9047,223.039,65.4633,0.05545,0.0367774647887323,0.0267627118644067,0.0538,0.0385774647887324,0.0286101694915254,0.0222019704433497,99,99,99,99,99,99
ZTF,17.3686,16.7936,16.5772,17.369,16.7971,16.554,16.4576,238.457,72.9013,0.0931,0.0612957746478873,0.0442711864406779,0.0904,0.0642957746478873,0.0473502824858757,0.0378029556650246,99,99,99,99,99,99
ZTF,17.6221,17.3507,17.247,17.6606,17.3264,17.1727,17.1449,258.406,33.9095,0.0872,0.0580366197183098,0.0420169491525423,0.0848,0.0604366197183098,0.0444802259887005,0.0358029556650246,99,99,99,99,99,99
ZTF,16.8523,16.4865,16.3677,16.8546,16.4528,16.3229,16.306,237.435,71.6622,0.11395,0.0755549295774647,0.0545254237288135,0.1108,0.0791549295774648,0.0582203389830508,0.0464039408866995,99,99,99,99,99,99
ZTF,17.208,16.4857,16.225,17.2075,16.4768,16.2038,16.0979,223.349,36.0022,0.03965,0.0265183098591549,0.0195084745762711,0.0386,0.0277183098591549,0.0207401129943502,0.0159014778325123,99,99,99,99,99,99
ZTF,15.7364,15.3695,15.2322,15.7445,15.342,15.1906,15.1546,264.005,78.8813,0.1763499999999999,0.1163323943661971,0.0845423728813559,0.1714,0.1217323943661972,0.0907005649717514,0.0716059113300492,99,99,99,99,99,99
ZTF,16.8299,16.4818,16.3706,16.8355,16.4492,16.3235,16.2733,241.363,79.1154,0.12185,0.0805549295774648,0.0577796610169491,0.1184,0.0841549295774648,0.0620903954802259,0.0494039408866995,99,99,99,99,99,99
ZTF,16.2574,15.8868,15.7431,16.2729,15.8583,15.7046,15.6722,240.851,36.4733,0.0852,0.0562957746478873,0.0410169491525423,0.0828,0.0592957746478873,0.0434802259887005,0.0348029556650246,99,99,99,99,99,99
ZTF,17.0683,16.7251,16.5491,17.077,16.6966,16.5347,16.5029,260.062,40.2626,0.11095,0.0735549295774647,0.0535254237288135,0.1078,0.0771549295774648,0.0572203389830508,0.0454039408866995,99,99,99,99,99,99
ZTF,16.406,16.0895,15.9864,16.4143,16.0584,15.9365,15.9187,232.568,43.9331,0.06935,0.0460366197183098,0.0330169491525423,0.0674,0.0484366197183098,0.0354802259887005,0.0285024630541871,99,99,99,99,99,99
ZTF,17.5325,16.9539,16.7675,17.4885,16.9459,16.7511,16.6878,247.355,72.7095,0.16045,0.1060732394366197,0.0762881355932203,0.1558,0.1108732394366197,0.0818305084745762,0.0653054187192118,99,99,99,99,99,99
ZTF,17.1614,16.7575,16.6202,17.1744,16.743,16.5806,16.5271,232.225,73.4444,0.0862,0.0570366197183098,0.0412711864406779,0.0838,0.0594366197183098,0.0443502824858757,0.0348029556650246,99,99,99,99,99,99
ZTF,18.1969,17.5471,17.3025,18.1893,17.5407,17.2774,17.1637,242.602,44.9366,0.05055,0.0337774647887324,0.0245084745762711,0.0492,0.0355774647887324,0.0257401129943502,0.0209014778325123,99,99,99,99,99,99
ZTF,17.4858,17.0341,16.8667,17.4834,17.0058,16.8251,16.7754,264.842,50.3193,0.104,0.0682957746478873,0.0495254237288135,0.1009999999999999,0.0712957746478873,0.0532203389830508,0.042103448275862,99,99,99,99,99,99
ZTF,16.7177,16.2092,16.0433,16.7222,16.1957,15.9995,15.9518,254.678,30.0104,0.10795,0.0712957746478873,0.0515254237288135,0.1048,0.0742957746478873,0.0552203389830508,0.044103448275862,99,99,99,99,99,99
ZTF,18.1659,17.4949,17.2783,18.1519,17.4831,17.2139,17.1324,246.902,33.5189,0.0752999999999999,0.0500366197183098,0.0360169491525423,0.0732,0.0524366197183098,0.0384802259887005,0.0305024630541871,99,99,99,99,99,99
ZTF,17.0756,16.4775,16.2423,17.0891,16.4843,16.2166,16.1092,248.214,36.1513,0.04855,0.0317774647887324,0.0227627118644067,0.0472,0.0335774647887324,0.0246101694915254,0.0199014778325123,99,99,99,99,99,99
ZTF,15.9216,15.5515,15.423,15.9311,15.5314,15.3794,15.3512,255.636,79.9218,0.1793,0.1183323943661971,0.0855423728813559,0.1742,0.1237323943661972,0.0917005649717514,0.0726059113300492,99,99,99,99,99,99
ZTF,17.1413,16.5527,16.2854,17.1531,16.541,16.2792,16.1668,229.382,45.4207,0.0921,0.0610366197183098,0.0442711864406779,0.0894,0.0634366197183098,0.0473502824858757,0.037103448275862,99,99,99,99,99,99
ZTF,16.4146,16.1221,16.0116,16.4351,16.094,15.965,15.9515,257.665,71.7716,0.12285,0.0815549295774648,0.0587796610169491,0.1194,0.0851549295774648,0.0630903954802259,0.0497044334975369,99,99,99,99,99,99
ZTF,15.4356,15.1487,15.0549,15.4521,15.1197,15.005,15.0006,260.911,79.5098,0.1595,0.1050732394366197,0.0762881355932203,0.155,0.1098732394366197,0.0818305084745762,0.0653054187192118,99,99,99,99,99,99
ZTF,16.7436,16.1765,15.9591,16.7555,16.1608,15.9253,15.85,238.097,28.3019,0.106,0.0702957746478873,0.0505254237288135,0.103,0.0732957746478873,0.0542203389830508,0.043103448275862,99,99,99,99,99,99
ZTF,16.3656,16.0418,15.9232,16.3845,16.006,15.8699,15.8475,230.779,66.7431,0.10105,0.0672957746478873,0.0485254237288135,0.0982,0.0702957746478873,0.0522203389830508,0.041103448275862,99,99,99,99,99,99
ZTF,16.9979,16.3975,16.1886,16.9865,16.3777,16.1894,16.1281,245.41,55.3433,0.03465,0.0225183098591549,0.0165084745762711,0.0336,0.0237183098591549,0.0177401129943502,0.0139014778325123,99,99,99,99,99,99
