FGCM_ID,RA,DEC,FLAG,MAG_STD_G,MAG_STD_R,MAG_STD_I,MAG_STD_Z,MAG_STD_Y,MAGERR_STD_G,MAGERR_STD_R,MAGERR_STD_I,MAGERR_STD_Z,MAGERR_STD_Y,NGOOD_G,NGOOD_R,NGOOD_I,NGOOD_Z,NGOOD_Y,SOURCEID,GAIA_ATLAS-c,GAIA_ATLAS-o
686333,149.372,3.1146,0,18.6044,18.2832,18.1891,18.1804,18.2207,0.00350683,0.00280065,0.00288409,0.00489365,0.0135816,1,1,1,1,1,-999,-999,-999
686603,149.235,2.95026,0,17.4986,17.0764,16.9638,16.932,16.9585,0.00216209,0.00173141,0.00170663,0.00226994,0.00544668,1,1,1,1,1,-999,-999,-999
686542,149.749,3.432,0,18.7863,18.367,18.272,18.2414,18.2838,0.00287137,0.00291714,0.0030097,0.00511033,0.0141658,2,1,1,1,1,-999,-999,-999
685668,149.3,2.95434,0,19.1975,18.5469,18.2928,18.1649,18.1394,0.00286504,0.00189925,0.00181735,0.00285835,0.0079176,3,3,3,3,3,-999,-999,-999
686545,149.668,3.34003,0,19.5368,18.8857,18.67,18.5591,18.5623,0.00443387,0.0038203,0.00375806,0.00643462,0.0176735,2,1,1,1,1,-999,-999,-999
686387,149.409,3.06241,0,18.2633,17.5991,17.3504,17.217,17.1947,0.00297993,0.00208114,0.00196143,0.00264882,0.0064005,1,1,1,1,1,-999,-999,-999
686160,149.522,3.17488,0,18.716,17.95,17.6968,17.5649,17.5536,0.00277246,0.00240542,0.00226958,0.00325743,0.00822667,2,1,1,1,1,-999,-999,-999
686098,149.541,3.19112,0,19.3939,18.9371,18.8005,18.7509,18.7647,0.00407464,0.00393039,0.00406595,0.00743556,0.020946,2,1,1,1,1,-999,-999,-999
685800,149.313,2.95242,0,19.2524,18.7329,18.5565,18.4854,18.526,0.00295286,0.00209611,0.00210878,0.00360357,0.0123799,3,3,3,3,2,-999,-999,-999
686337,149.37,3.00992,0,18.0446,17.3895,17.2077,17.121,17.1207,0.00269999,0.0019245,0.00185786,0.00251129,0.00608449,1,1,1,1,1,-999,-999,-999
686655,149.683,3.33796,0,18.1837,17.4068,17.1503,17.0199,17.014,0.00211314,0.00193657,0.00181783,0.00237897,0.00562855,2,1,1,1,1,-999,-999,-999
686407,149.447,3.0802,0,19.5142,18.754,18.4973,18.3673,18.3312,0.00235643,0.00261346,0.00249382,0.00401716,0.0113865,4,2,2,2,2,-999,-999,-999
686345,149.378,3.0042,0,18.6159,17.643,17.2941,17.1064,17.0786,0.00353629,0.0021177,0.00191855,0.00249123,0.00591407,1,1,1,1,1,-999,-999,-999
686124,149.602,3.23459,0,18.7839,17.7335,17.3282,17.1232,17.0636,0.00162225,0.0010644,0.0011142,0.00179636,0.00441514,4,3,2,2,2,-999,-999,-999
686540,149.772,3.40719,0,18.4836,17.8179,17.6324,17.541,17.5553,0.00245053,0.00227289,0.00220401,0.00320889,0.00819586,2,1,1,1,1,-999,-999,-999
686157,149.599,3.21784,0,19.1386,18.7577,18.6387,18.5961,18.6186,0.00193228,0.00155015,0.001674,0.00475519,0.0143883,4,3,3,2,2,-999,-999,-999
685592,149.35,2.95422,0,19.2191,18.9364,18.8674,18.8669,18.9293,0.00289479,0.00234459,0.00254104,0.00481528,0.0150608,3,3,3,3,3,-999,-999,-999
686508,149.745,3.37137,0,18.3385,18.0514,17.9767,17.968,18.0384,0.00227551,0.0025149,0.00258732,0.00422951,0.011719,2,1,1,1,1,-999,-999,-999
685598,149.348,2.95173,16,18.6832,17.6761,17.3146,17.1355,17.092,0.0021716,0.00126537,0.00114198,0.00148367,0.00364808,3,3,3,3,3,-999,-999,-999
686122,149.478,3.08472,0,18.9256,18.5455,18.4216,18.3843,18.4362,0.00161683,0.00130107,0.00111602,0.00335143,0.0100366,5,4,5,3,3,-999,-999,-999
1400496,152.299,1.72391,0,19.4247,18.8865,18.7126,18.6396,18.6478,0.00743145,0.00508548,0.00590456,0.00504291,0.0154027,1,1,1,2,2,-999,-999,-999
1400495,152.285,1.83536,0,18.182,17.4695,17.2445,17.1221,17.1033,0.00338791,0.00223095,0.0023027,0.00146925,0.00356902,1,1,1,3,3,-999,-999,-999
1399655,152.267,1.9631,0,19.1974,18.3271,17.9967,17.8104,17.7976,0.00636243,0.00356844,0.00358935,0.00278129,0.00774198,1,1,1,2,2,-999,-999,-999
1400832,152.224,1.8617,0,17.5067,17.1007,16.9748,16.9263,16.9488,0.00138409,0.00136112,0.00197092,0.00102114,0.00251805,3,2,1,5,5,-999,-999,-999
1400039,152.205,1.98128,0,19.5125,18.4689,18.1224,17.9379,17.894,0.00530489,0.00389399,0.00389863,0.00232817,0.00641167,2,1,1,3,3,-999,-999,-999
1400644,152.219,1.72057,0,19.1055,18.7285,18.6121,18.5867,18.5901,0.00598535,0.00458188,0.00548915,0.00484327,0.0146592,1,1,1,2,2,-999,-999,-999
1397462,152.189,2.03184,0,18.2214,17.1671,16.8046,16.6116,16.5724,0.00200391,0.00140121,0.0018294,0.000879928,0.00201038,3,2,1,5,5,-999,-999,-999
1396945,152.182,1.7826,0,18.3407,18.024,17.9365,17.9212,17.9508,0.00211414,0.00210892,0.00239177,0.00169274,0.00489733,3,2,2,6,6,-999,-999,-999
1398548,152.159,2.04589,0,19.3952,18.8861,18.7518,18.6784,18.6959,0.00536898,0.00377177,0.00572776,0.003756,0.0112469,2,2,1,4,4,-999,-999,-999
