survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-r_AV,GAIA-b_AV,GAIA-g_AV,GAIA_DES-g,GAIA_DES-r,GAIA_DES-i,GAIA_DES-z,SOURCEID
DES,17.7422,16.9972,16.7602,16.6273,17.7043,17.0564,16.7835,16.6836,42.3447,0.436979,0.173421,0.116155,0.085371,0.0657844,0.1714,0.121732,0.0907006,0.0716059,17.0866,16.4202,17.6038,0,0,0,-999,-999,-999,-999,-999
DES,15.9111,15.3491,15.1949,15.1124,15.8772,15.3847,15.2028,15.1447,42.1791,0.399882,0.168421,0.112915,0.082371,0.0638608,0.1664,0.117873,0.0877006,0.0696059,15.4198,14.8475,15.8183,0,0,0,-999,-999,-999,-999,-999
DES,17.0311,16.4862,16.3286,16.2497,17.0027,16.5272,16.3431,16.2709,42.7924,0.569058,0.217172,0.145634,0.107045,0.0822496,0.2146,0.152451,0.113441,0.0898079,16.5505,15.9816,16.947,0,0,0,17.0585,16.488,16.3208,16.2601,2498981435042453504
DES,18.1394,17.4696,17.2501,17.1288,18.094,17.5234,17.2671,17.1619,42.2354,0.0926263,0.159699,0.106915,0.0780339,0.0609372,0.1578,0.111873,0.0828305,0.0663054,17.5481,16.9278,18.0194,0,0,0,18.1961,17.4747,17.2582,17.1889,2498935843965267200
DES,17.9543,17.5024,17.3669,17.3072,17.9261,17.5355,17.3748,17.3297,42.7336,0.843521,0.183005,0.122394,0.089371,0.0696316,0.1808,0.128592,0.0947006,0.0756059,17.5453,17.0183,17.8735,0,0,0,17.9731,17.507,17.3806,17.3166,2499094959618128256
DES,17.1273,16.7388,16.616,16.5655,17.095,16.7612,16.6249,16.5821,42.6856,0.787376,0.173421,0.116155,0.085371,0.0657844,0.1714,0.121732,0.0907006,0.0716059,16.7645,16.2842,17.0665,0,0,0,17.1447,16.742,16.6207,16.5556,2499093520804625408
DES,18.0332,17.542,17.3734,17.292,18.0265,17.5688,17.3887,17.3271,42.6512,0.833439,0.172421,0.115915,0.084371,0.0657844,0.1704,0.120873,0.0897006,0.0716059,17.5833,17.0538,17.9668,0,0,0,18.0467,17.5781,17.39,17.3085,2499094650380481408
DES,17.8416,17.1496,16.9145,16.7873,17.8016,17.1946,16.9388,16.8319,43.1824,0.954186,0.241618,0.162113,0.118719,0.0918676,0.2388,0.170169,0.126181,0.100108,17.2555,16.5946,17.7304,0,0,0,17.8628,17.1658,16.9267,16.805,2499111933329190144
DES,18.3331,17.6552,17.4462,17.3317,18.3191,17.711,17.4537,17.3974,43.0049,0.849871,0.225034,0.150873,0.110382,0.0851732,0.2224,0.15831,0.117311,0.0928079,17.7339,17.1054,18.1644,0,0,0,-999,-999,-999,-999,-999
DES,17.8746,17.2436,17.0289,16.915,17.8387,17.2795,17.0331,16.9407,43.0926,0.970861,0.227034,0.152873,0.111382,0.0860968,0.2244,0.16031,0.118311,0.0938079,17.4811,16.6923,17.7796,0,0,0,-999,-999,-999,-999,-999
DES,17.661,17.2077,17.0755,17.0181,17.6394,17.2262,17.0718,17.0283,42.3153,0.888889,0.177282,0.119155,0.087371,0.067708,0.1752,0.124732,0.0927006,0.0736059,17.2511,16.7268,17.6003,0,0,0,17.6879,17.2085,17.0704,17.0587,2499054243328641408
DES,18.7673,18.0373,17.8089,17.6839,18.7179,18.0821,17.8303,17.763,42.0482,0.298228,0.150976,0.100915,0.0740339,0.05709,0.1492,0.105873,0.0788305,0.0623054,18.1251,17.4832,18.6401,0,0,0,-999,-999,-999,-999,-999
DES,18.0199,17.3293,17.1215,17.0071,17.9851,17.374,17.1334,17.0585,43.1281,0.949504,0.235756,0.158113,0.115719,0.089944,0.233,0.166169,0.123181,0.0978079,17.4106,16.7932,17.8997,0,0,0,18.0591,17.3394,17.1258,17.006,2499091562299563904
DES,17.691,16.8978,16.6311,16.4772,17.642,16.9449,16.6471,16.5339,42.8935,0.711528,0.224034,0.149873,0.110045,0.0850968,0.2214,0.15731,0.116441,0.0925074,16.9789,16.2936,17.5212,0,0,0,17.7164,16.9038,16.6266,16.4473,2499077642309974528
DES,18.177,17.6507,17.501,17.435,18.1338,17.6867,17.5185,17.4539,41.8762,0.392522,0.133392,0.0896761,0.0656968,0.0512428,0.1318,0.0940141,0.0699605,0.0557044,17.7097,17.1479,18.097,0,0,0,-999,-999,-999,-999,-999
DES,18.501,17.7368,17.4944,17.359,18.4461,17.7871,17.5129,17.4097,42.0774,0.465951,0.151976,0.101915,0.0746968,0.0580136,0.1502,0.106873,0.0789605,0.0630049,17.8226,17.1557,18.3729,0,0,0,-999,-999,-999,-999,-999
DES,17.2511,16.4434,16.1941,16.0542,17.2068,16.499,16.2166,16.0997,42.2771,0.295941,0.159699,0.107155,0.0780339,0.0609372,0.1578,0.112732,0.0828305,0.0663054,16.542,15.8452,17.0772,0,0,0,-999,-999,-999,-999,-999
DES,16.7721,16.1046,15.8872,15.7713,16.7315,16.1526,15.912,15.8156,41.9871,0.297578,0.146115,0.0979155,0.0716968,0.0551664,0.1444,0.102873,0.0759605,0.0603054,16.1779,15.5505,16.643,0,0,0,16.7871,16.0968,15.8897,15.7595,2498957593679619456
DES,16.713,16.2937,16.1821,16.1388,16.6837,16.3217,16.1854,16.1536,41.8955,0.527242,0.126531,0.0846761,0.0623597,0.0483192,0.125,0.0890141,0.0660904,0.0524039,16.3307,15.8258,16.6599,0,0,0,-999,-999,-999,-999,-999
DES,16.9813,16.3931,16.2093,16.1097,16.9407,16.4313,16.214,16.1485,42.4557,0.478433,0.175282,0.118155,0.086371,0.066708,0.1732,0.123732,0.0917006,0.0726059,16.4565,15.8667,16.8915,0,0,0,-999,-999,-999,-999,-999
DES,17.3448,16.8184,16.6639,16.5864,17.3235,16.8518,16.6647,16.6155,42.5319,0.386239,0.20745,0.139394,0.102045,0.0784024,0.205,0.145592,0.108441,0.0855074,16.8753,16.3036,17.2696,0,0,0,17.3765,16.8195,16.6587,16.5691,2498971749891848192
DES,18.1429,17.4837,17.2348,17.0955,18.0559,17.5331,17.2579,17.1405,41.8811,0.503287,0.127531,0.0854366,0.0623597,0.0483956,0.126,0.0891549,0.0660904,0.0527044,17.5656,16.9026,18.0363,0,0,0,-999,-999,-999,-999,-999
DES,18.1467,17.555,17.3794,17.2914,18.0951,17.5898,17.39,17.323,41.9418,0.619288,0.12767,0.0856761,0.0626968,0.0483956,0.1262,0.0900141,0.0669605,0.0527044,17.621,17.0394,18.055,0,0,0,-999,-999,-999,-999,-999
DES,17.0186,16.2723,16.0559,15.9381,16.9776,16.3209,16.0691,15.9784,42.6976,0.839695,0.173282,0.116155,0.0850339,0.0657844,0.1712,0.121732,0.0898305,0.0716059,16.3657,15.718,16.8545,0,0,0,-999,-999,-999,-999,-999
DES,18.7563,18.1539,17.9378,17.8179,18.6924,18.1798,17.9572,17.8448,41.8341,0.628251,0.122809,0.0824366,0.0603597,0.046472,0.1214,0.0861549,0.0640904,0.0507044,18.225,17.57,18.6202,0,0,0,-999,-999,-999,-999,-999
DES,17.2071,16.8019,16.6846,16.6387,17.1863,16.8212,16.6723,16.6256,41.863,0.612919,0.12467,0.0836761,0.0613597,0.0473956,0.1232,0.0880141,0.0650904,0.0517044,16.8407,16.3242,17.1613,0,0,0,-999,-999,-999,-999,-999
