survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA_SDSS-G,GAIA_SDSS-R,GAIA_SDSS-I,GAIA_SDSS-Z,GAIA_SDSS-g,GAIA_SDSS-r,GAIA_SDSS-i,GAIA_SDSS-z,SOURCEID
SDSS,18.2378,17.7964,17.6227,17.5661,18.1909,17.7825,17.6293,17.5696,308.526,0.80001,0.309928,0.21307,0.15804,0.118129,0.299198,0.211887,0.156791,0.12431,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.2914,17.537,17.2683,17.0909,18.2019,17.5126,17.2586,17.1387,308.527,-0.063004,0.413903,0.284761,0.211701,0.158172,0.399473,0.283183,0.210011,0.166414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.4063,17.7987,17.5807,17.4588,18.3123,17.8209,17.588,17.4964,308.527,0.354286,0.388909,0.267761,0.198757,0.14916,0.375404,0.266183,0.197141,0.156813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.838,18.2653,18.0238,17.8899,18.7308,18.2757,18.0214,17.9322,308.529,-0.878646,0.608856,0.419141,0.311079,0.233252,0.587581,0.416775,0.308582,0.24532,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.9972,18.574,18.414,18.3356,18.9948,18.5546,18.4278,18.4002,308.53,0.714703,0.312926,0.216008,0.16004,0.120129,0.302011,0.214746,0.158791,0.12631,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.633,18.1612,17.9937,17.9024,18.5904,18.1693,17.9983,17.955,308.531,-0.0410413,0.410904,0.283699,0.209757,0.157172,0.396659,0.282042,0.208141,0.165414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.1828,17.642,17.4706,17.3649,18.1112,17.6452,17.466,17.405,308.532,-0.0804796,0.413904,0.285699,0.211701,0.158179,0.399659,0.284042,0.210011,0.166714,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.4048,16.421,16.0098,15.7645,17.2613,16.3999,16.0077,15.8202,308.533,-0.521503,0.557869,0.384265,0.285249,0.213234,0.538444,0.382056,0.282972,0.224419,17.4452,16.4138,16.0286,15.773,17.428,16.4138,16.0286,15.773,4229494440879353472
SDSS,18.8023,18.4137,18.2545,18.1854,18.7347,18.5323,18.2408,18.2039,308.533,0.757871,0.309928,0.214008,0.15804,0.119129,0.299198,0.212746,0.156791,0.12531,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.4573,17.8363,17.6108,17.5035,18.3947,17.8301,17.6216,17.5527,308.534,1.15372,0.305928,0.21007,0.15604,0.117129,0.295198,0.208887,0.154791,0.12331,-999,-999,-999,-999,-999,-999,-999,-999,-999
